,timestamp,raw_mix.lab.measure.moisture_out,raw_mix.lab.measure.sito_009
335,2025-02-04 10:00:00,0.79,21.9
336,2025-02-04 12:00:00,0.8,21.6
337,2025-02-04 14:00:00,0.78,21.0
338,2025-02-04 16:00:00,0.81,17.9
339,2025-02-04 18:00:00,0.8,21.6
340,2025-02-04 20:00:00,0.83,17.3
341,2025-02-04 22:00:00,0.84,18.5
342,2025-02-05 00:00:00,0.85,20.8
343,2025-02-05 02:00:00,0.82,21.2
344,2025-02-05 04:00:00,0.84,21.4
345,2025-02-05 06:00:00,0.83,21.4
346,2025-02-05 08:00:00,0.84,20.5
347,2025-02-05 14:00:00,0.85,19.0
348,2025-02-05 17:00:00,0.83,17.9
349,2025-02-05 18:00:00,0.82,19.5
350,2025-02-05 20:00:00,0.75,22.1
351,2025-02-05 22:00:00,0.78,20.6
352,2025-02-06 00:00:00,0.8,20.4
353,2025-02-06 02:00:00,0.79,21.2
354,2025-02-06 04:00:00,0.82,21.6
355,2025-02-06 06:00:00,0.8,22.0
356,2025-02-06 08:00:00,0.82,16.0
357,2025-02-06 10:00:00,0.83,16.8
358,2025-02-06 12:00:00,0.78,16.7
359,2025-02-06 14:00:00,0.8,17.1
360,2025-02-06 16:00:00,0.81,18.6
361,2025-02-06 18:00:00,0.86,21.1
362,2025-02-06 20:00:00,0.86,21.1
363,2025-02-06 22:00:00,0.83,20.5
364,2025-02-07 00:00:00,0.84,19.0
365,2025-02-07 02:00:00,0.8,19.3
366,2025-02-07 04:00:00,0.82,20.0
367,2025-02-07 06:00:00,0.85,18.8
368,2025-02-07 08:00:00,0.84,17.0
369,2025-02-07 10:00:00,0.82,18.4
370,2025-02-07 12:00:00,0.85,20.0
371,2025-02-07 14:00:00,0.83,20.8
372,2025-02-07 16:00:00,0.84,19.9
373,2025-02-07 18:00:00,0.85,20.7
374,2025-02-07 20:00:00,0.84,21.0
375,2025-02-07 22:00:00,0.8,21.1
376,2025-02-08 00:00:00,0.82,21.4
377,2025-02-08 02:00:00,0.79,21.8
378,2025-02-08 04:00:00,0.82,20.3
379,2025-02-08 06:00:00,0.84,21.2
380,2025-02-08 08:00:00,0.79,20.9
381,2025-02-08 10:00:00,0.81,20.6
382,2025-02-08 12:00:00,0.79,19.4
383,2025-02-08 14:00:00,0.8,19.0
384,2025-02-08 16:00:00,0.77,16.9
385,2025-02-08 18:00:00,0.78,16.3
386,2025-02-08 20:00:00,0.84,20.7
387,2025-02-08 22:00:00,0.82,21.0
388,2025-02-09 00:00:00,0.85,17.7
389,2025-02-09 02:00:00,0.83,18.3
390,2025-02-09 04:00:00,0.84,19.1
391,2025-02-09 06:00:00,0.82,19.3
392,2025-02-09 08:00:00,0.84,17.8
393,2025-02-09 10:00:00,0.85,18.7
394,2025-02-09 12:00:00,0.82,19.8
395,2025-02-09 14:00:00,0.86,19.5
396,2025-02-09 16:00:00,0.82,19.0
397,2025-02-09 18:00:00,0.83,19.3
398,2025-02-09 20:00:00,0.83,19.5
399,2025-02-09 22:00:00,0.81,20.8
400,2025-02-10 00:00:00,0.8,21.1
401,2025-02-10 02:00:00,0.84,18.7
402,2025-02-10 04:00:00,0.78,19.8
403,2025-02-10 06:00:00,0.81,17.6
404,2025-02-10 08:00:00,0.82,16.1
405,2025-02-10 10:00:00,0.84,18.2
406,2025-02-10 12:00:00,0.85,19.7
407,2025-02-10 14:00:00,0.83,18.4
408,2025-02-10 16:00:00,0.79,17.6
409,2025-02-10 18:00:00,0.81,18.2
410,2025-02-10 20:00:00,0.85,16.5
411,2025-02-10 22:00:00,0.82,18.2
412,2025-02-11 00:00:00,0.84,20.0
413,2025-02-11 02:00:00,0.79,20.2
414,2025-02-11 04:00:00,0.8,19.2
415,2025-02-11 06:00:00,0.83,19.6
416,2025-02-11 08:00:00,0.86,21.4
417,2025-02-11 10:00:00,0.85,21.9
418,2025-02-11 12:00:00,0.84,21.5
419,2025-02-11 14:00:00,0.82,19.1
420,2025-02-11 16:00:00,0.85,18.2
421,2025-02-11 18:00:00,0.84,17.7
422,2025-02-11 20:00:00,0.83,16.0
423,2025-02-11 22:00:00,0.82,17.0
424,2025-02-12 02:00:00,0.85,17.5
425,2025-02-12 04:00:00,0.79,20.1
426,2025-02-12 05:59:59,0.81,19.4
427,2025-02-12 07:59:59,0.79,18.9
428,2025-02-12 09:59:59,0.8,21.0
429,2025-02-12 11:59:59,0.77,20.7
430,2025-02-12 13:59:59,0.81,19.4
431,2025-02-12 15:59:59,0.8,20.0
432,2025-02-12 17:59:59,0.78,19.6
433,2025-02-12 19:59:59,0.84,21.8
